OF1,OF2,OF3,OF4,EPM,NOR1,NOR2,NOR3,NOR4,MWM,PASTA,group,id
0.216864295,0.124677604,0,0,0.210670513,0.657617007,0.831412676,0.664852997,0.812699003,32.98511915,469.6064974,STZ N,40
0.288547922,0.211887916,0.085737725,0,0.198153741,0.673805848,0.747474842,0.557945153,0.445683246,60,808.4063722,STZ NW,41
0.191765091,0.164054398,0,0,0.127848174,0.599161071,0.720013074,0.579503101,0.403424017,57.37313526,788.4955885,STZ NW,42
0.238156421,0.05878635,0,0,0.122415228,0.72641766,0.873906852,0.761387417,0.567740058,52.01719729,729.376424,STZ NW,43
0.25164313,0.115327267,0.042541326,0,0.122162087,0.682473591,0.897153594,0.704619746,0.503343932,60,835.804507,STZ NW,44
0.240213416,0.110859221,0.058846287,0,0.148064169,0.652530716,0.698246122,0.536192375,0.289666312,60,780.8815484,STZ NW,45
0.214693774,0.118662413,0,0,0.084692087,0.656766292,0.864699051,0.750513923,0.583588072,41.99587112,673.2949221,STZ NW,46
0.2955761,0.154648373,0.034558422,0,0.110380119,0.693079661,0.822224324,0.719522045,0.51268895,45.30833679,660.7722729,STZ NW,47
0.215267048,0,0,0,0.0074535,0.647545054,0.83472374,0.716175932,0.5112293,44.56323243,780.320901,STZ NW,48
0.320921186,0.09121039,0,0,0.051749421,0.514529733,0.697606829,0.518437673,0.379183106,60,904.8802724,STZ NW,49
0.216864295,0.147982399,0.016943961,0,0.146450656,0.657617007,0.818982579,0.623044406,0.472980841,58.94563024,788.614976,STZ NW,50
